Month,Brooklyn,Manhattan,NYC,Queens
2005-01-01,543509,822536,543837,468814
2005-02-01,553368,822191,543685,471178
2005-03-01,576270,827677,550152,466818
2005-04-01,577108,840618,554056,471785
2005-05-01,582842,852430,560634,480562
2005-06-01,603417,871231,571870,482091
2005-07-01,616451,886622,582946,490398
2005-08-01,625204,900956,592365,498818
2005-09-01,631526,915336,599881,502518
2005-10-01,630111,925189,604936,506765
2005-11-01,636263,933055,611864,515130
2005-12-01,637495,933032,612841,516471
2006-01-01,631498,933891,613021,522462
2006-02-01,644110,936045,617327,526356
2006-03-01,643173,931713,615009,525085
2006-04-01,641530,933935,616007,526377
2006-05-01,652661,936577,620215,530674
2006-06-01,660468,943647,624840,533117
2006-07-01,667989,951907,631699,540969
2006-08-01,675656,955174,636113,547676
2006-09-01,686953,962510,640534,548420
2006-10-01,687316,962704,642491,552111
2006-11-01,688432,966349,644912,554257
2006-12-01,697576,961729,644431,552115
2007-01-01,698335,957746,642041,551177
2007-02-01,687645,949618,635589,550574
2007-03-01,682863,940048,630226,546812
2007-04-01,685430,956313,633654,544746
2007-05-01,679740,968879,634115,538893
2007-06-01,676774,983265,636570,540261
2007-07-01,677013,989459,637236,538492
2007-08-01,677855,998824,638361,535934
2007-09-01,676341,1005284,638579,532477
2007-10-01,675042,1012706,639290,532686
2007-11-01,678887,1019730,639354,527080
2007-12-01,679095,1020338,638701,524536
2008-01-01,671786,1017078,633238,517526
2008-02-01,665988,1023199,632106,515585
2008-03-01,663871,1025070,629122,512246
2008-04-01,655524,1020935,624556,508794
2008-05-01,652843,1025774,624295,506572
2008-06-01,649423,1030230,623643,504935
2008-07-01,648899,1032111,622322,501320
2008-08-01,648822,1029312,619306,495972
2008-09-01,646563,1024795,616524,495168
2008-10-01,644556,1023265,613696,493635
2008-11-01,636487,1017253,607207,490797
2008-12-01,626452,1004881,600063,486653
2009-01-01,609210,991677,590322,480913
2009-02-01,598612,976033,579968,472085
2009-03-01,597319,967325,572941,465219
2009-04-01,590945,941470,564081,461655
2009-05-01,591714,932776,560086,459424
2009-06-01,581937,918478,551648,453043
2009-07-01,582942,906688,547587,448177
2009-08-01,578221,896151,543695,445459
2009-09-01,577742,895872,541557,441620
2009-10-01,573224,892517,538589,438898
2009-11-01,567800,884417,535911,437410
