Month,Brooklyn,Manhattan,NYC,Queens
1/1/2007,,2535,2203,
2/1/2007,,2481,2160,
3/1/2007,,2487,2176,
4/1/2007,,2509,2192,
5/1/2007,,2538,2216,
6/1/2007,,2557,2235,
7/1/2007,,2591,2269,
8/1/2007,,2632,2297,
9/1/2007,,2648,2314,
10/1/2007,,2656,2327,
11/1/2007,,2680,2340,
12/1/2007,,2687,2346,
1/1/2008,,2691,2347,
2/1/2008,,2689,2350,
3/1/2008,,2695,2356,
4/1/2008,,2695,2357,
5/1/2008,,2696,2355,
6/1/2008,,2696,2357,
7/1/2008,,2696,2359,
8/1/2008,,2698,2362,
9/1/2008,,2685,2352,
10/1/2008,,2657,2328,
11/1/2008,,2627,2303,
12/1/2008,,2590,2271,
1/1/2009,,2555,2241,
2/1/2009,,2520,2212,
3/1/2009,,2493,2189,
4/1/2009,,2468,2167,
5/1/2009,,2450,2153,
6/1/2009,,2440,2144,
7/1/2009,,2441,2145,
8/1/2009,,2436,2141,
9/1/2009,,2436,2141,
10/1/2009,,2430,2136,
11/1/2009,,2417,2126,
12/1/2009,,2410,2119,
1/1/2010,1846,2415,2123,
2/1/2010,1835,2420,2127,
3/1/2010,1847,2423,2129,
4/1/2010,1855,2431,2135,
5/1/2010,1869,2443,2146,
6/1/2010,1888,2459,2160,
7/1/2010,1892,2476,2174,
8/1/2010,1903,2491,2187,
9/1/2010,1910,2507,2201,
10/1/2010,1925,2517,2211,
11/1/2010,1915,2524,2215,
12/1/2010,1936,2530,2223,
1/1/2011,1938,2543,2233,
2/1/2011,1942,2554,2242,
3/1/2011,1941,2569,2254,
4/1/2011,1962,2586,2269,
5/1/2011,1979,2599,2282,
6/1/2011,1992,2617,2297,
7/1/2011,2007,2636,2314,
8/1/2011,2023,2653,2328,
9/1/2011,2033,2666,2340,
10/1/2011,2045,2679,2353,
11/1/2011,2052,2684,2357,
12/1/2011,2052,2688,2360,
1/1/2012,2055,2696,2366,1750
2/1/2012,2066,2705,2374,1794
3/1/2012,2070,2718,2385,1793
4/1/2012,2091,2731,2397,1807
5/1/2012,2102,2748,2412,1824
6/1/2012,2115,2760,2423,1814
7/1/2012,2130,2777,2438,1828
8/1/2012,2145,2790,2450,1809
9/1/2012,2155,2800,2458,1814
10/1/2012,2168,2805,2464,1819
11/1/2012,2185,2810,2470,1806
12/1/2012,2196,2810,2472,1811
1/1/2013,2200,2812,2474,1809
2/1/2013,2206,2823,2483,1808
3/1/2013,2210,2831,2489,1768
4/1/2013,2223,2839,2497,1779
5/1/2013,2241,2855,2513,1810
6/1/2013,2257,2868,2524,1841
7/1/2013,2276,2879,2536,1862
8/1/2013,2290,2890,2547,1876
9/1/2013,2299,2900,2555,1897
10/1/2013,2308,2903,2559,1886
11/1/2013,2308,2903,2558,1888
12/1/2013,2307,2897,2553,1884
1/1/2014,2308,2900,2556,1884
2/1/2014,2314,2903,2559,1890
3/1/2014,2316,2911,2565,1899
4/1/2014,2329,2926,2578,1903
5/1/2014,2346,2945,2594,1905
6/1/2014,2360,2959,2606,1908
7/1/2014,2372,2972,2619,1927
8/1/2014,2389,2986,2633,1939
9/1/2014,2395,2993,2639,1948
10/1/2014,2395,2996,2642,1954
11/1/2014,2395,2996,2642,1959
12/1/2014,2397,2996,2643,1955
1/1/2015,2405,3001,2649,1980
2/1/2015,2411,3012,2657,1978
3/1/2015,2418,3024,2667,1985
4/1/2015,2430,3040,2680,1986
5/1/2015,2443,3059,2696,2000
6/1/2015,2458,3077,2711,2008
7/1/2015,2473,3091,2725,2030
8/1/2015,2485,3105,2737,2045
9/1/2015,2497,3111,2745,2053
10/1/2015,2499,3111,2745,2055
11/1/2015,2501,3106,2742,2051
12/1/2015,2500,3102,2739,2049
1/1/2016,2500,3100,2739,2050
2/1/2016,2500,3101,2740,2052
3/1/2016,2506,3107,2745,2057
4/1/2016,2513,3117,2754,2064
5/1/2016,2520,3132,2765,2070
6/1/2016,2528,3144,2775,2077
7/1/2016,2536,3153,2783,2081
8/1/2016,2542,3158,2789,2091
9/1/2016,2548,3156,2790,2095
10/1/2016,2544,3148,2784,2094
11/1/2016,2541,3135,2774,2086
12/1/2016,2532,3125,2766,2081
1/1/2017,2529,3116,2760,2083
2/1/2017,2527,3112,2758,2086
3/1/2017,2528,3113,2758,2083
4/1/2017,2533,3121,2765,2092
5/1/2017,2541,3133,2774,2092
6/1/2017,2550,3144,2784,2103
7/1/2017,2558,3154,2793,2114
8/1/2017,2568,3161,2800,2121
9/1/2017,2570,3160,2800,2114
10/1/2017,2564,3151,2791,2099
11/1/2017,2556,3136,2780,2094
12/1/2017,2553,3126,2771,2072
1/1/2018,2549,3119,2765,2069
2/1/2018,2548,3122,2767,2066
3/1/2018,2552,3129,2772,2072
4/1/2018,2561,3140,2782,2076
5/1/2018,2571,3157,2795,2089
6/1/2018,2583,3175,2810,2100
7/1/2018,2594,3190,2823,2115
8/1/2018,2604,3205,2835,2131
9/1/2018,2608,3213,2842,2137
10/1/2018,2606,3209,2839,2139
11/1/2018,2601,3202,2833,2131
12/1/2018,2592,3195,2825,2126
1/1/2019,2590,3191,2822,2128
2/1/2019,2593,3196,2826,2135
3/1/2019,2605,3206,2835,2140
4/1/2019,2619,3219,2847,2141
5/1/2019,2636,3236,2865,2155
6/1/2019,2652,3254,2881,2167
7/1/2019,2668,3272,2897,2180
8/1/2019,2687,3287,2912,2194
9/1/2019,2700,3292,2920,2191
10/1/2019,2707,3287,2920,2195
11/1/2019,2710,3283,2918,2191
12/1/2019,2709,3274,2913,2187
1/1/2020,2713,3273,2913,2187
2/1/2020,2719,3274,2915,2185
3/1/2020,2727,3263,2912,2196
4/1/2020,2726,3243,2900,2183
5/1/2020,2714,3206,2876,2180
6/1/2020,2698,3168,2848,2179
7/1/2020,2679,3120,2815,2168
8/1/2020,2652,3058,2770,2147
9/1/2020,2619,2990,2720,2125
10/1/2020,2578,2915,2663,2095
11/1/2020,2538,2851,2614,2061
12/1/2020,2504,2797,2570,2027
1/1/2021,2478,2751,2534,2000
2/1/2021,2462,2724,2512,1984
3/1/2021,2459,2713,2503,1971
4/1/2021,2468,2724,2510,1967
5/1/2021,2490,2761,2536,1960
6/1/2021,2525,2822,2583,1981
7/1/2021,2567,2903,2642,2004
8/1/2021,2613,2992,2710,2044
9/1/2021,2661,3075,2774,2074
10/1/2021,2704,3148,2831,2111
11/1/2021,2734,3215,2882,2153
12/1/2021,2760,3275,2925,2186
1/1/2022,2794,3332,2971,2215
2/1/2022,2831,3392,3016,2218
3/1/2022,2868,3457,3063,2242
4/1/2022,2911,3521,3115,2248
5/1/2022,2956,3589,3172,2277
6/1/2022,3009,3648,3228,2317
7/1/2022,3056,3695,3275,2354
8/1/2022,3100,3739,3316,2389
9/1/2022,3136,3771,3348,2420
